hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.windowWidth	Answer.windowHeight	Answer.browser	Answer.totalmarbles	Answer.language	Answer.comments	Answer.age	Answer.gender	Production0	SetSize0	Proportion0	TargetColor0	OtherColor0	Production1	SetSize1	Proportion1	TargetColor1	OtherColor1	Production2	SetSize2	Proportion2	TargetColor2	OtherColor2	Production3	SetSize3	Proportion3	TargetColor3	OtherColor3	Production4	SetSize4	Proportion4	TargetColor4	OtherColor4	Production5	SetSize5	Proportion5	TargetColor5	OtherColor5	Production6	SetSize6	Proportion6	TargetColor6	OtherColor6	Production7	SetSize7	Proportion7	TargetColor7	OtherColor7	Production8	SetSize8	Proportion8	TargetColor8	OtherColor8	Production9	SetSize9	Proportion9	TargetColor9	OtherColor9	Production10	SetSize10	Proportion10	TargetColor10	OtherColor10	Subject
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	3JBT3HLQF81HGP8JBZ0QEAZLQ2DZPL	Approved	Sun May 04 08:56:56 PDT 2014	Thu May 01 08:56:00 PDT 2014	Thu May 01 08:56:56 PDT 2014	Thu May 01 09:17:34 PDT 2014	NA	NA	NA	NA	1836	600	"Chrome"	4	"English"	""	"26"	"Male"	most++some	3	0.75	gray	yellow	none++zero	0	0	turquoise	red	all++every%%one	4	1	purple	brown	half++some	2	0.5	black	pink	one++few	1	0.25	green	red	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	3O6CYIULED0QEZBAHYFDPCS2HH1WUO	Approved	Sun May 04 08:57:16 PDT 2014	Thu May 01 08:55:38 PDT 2014	Thu May 01 08:57:16 PDT 2014	Thu May 01 09:17:34 PDT 2014	NA	NA	NA	NA	1299	600	"Firefox"	4	"English"	""	"20"	"F"	all++four	4	1	black	orange	three++most	3	0.75	turquoise	brown	one++some	1	0.25	blue	yellow	two++half	2	0.5	gray	pink	zero++none	0	0	purple	red	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	3MTMREQS4VH6ZQXCBTYMPBG8AEAWAD	Approved	Sun May 04 08:58:00 PDT 2014	Thu May 01 08:56:01 PDT 2014	Thu May 01 08:58:00 PDT 2014	Thu May 01 09:17:34 PDT 2014	NA	NA	NA	NA	1180	600	"Chrome"	4	"English"	"interesting+one"	"63"	"female"	color++one	1	0.25	turquoise	red	two++color	2	0.5	blue	orange	all++four	4	1	purple	yellow	none++color	0	0	gray	red	three++most	3	0.75	black	brown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	3E1QT0TDFP8AF7KSPEATST155FD8IF	Approved	Sun May 04 08:59:10 PDT 2014	Thu May 01 08:55:56 PDT 2014	Thu May 01 08:59:10 PDT 2014	Thu May 01 09:17:34 PDT 2014	NA	NA	NA	NA	939	600	"Mozilla"	10	"English"	"Nice+Task%2FSurvey+Thanks!"	"21"	"Male"	Most++Some	7	0.7	blue	yellow	Most++Some	6	0.6	gray	brown	Most++Some	1	0.1	purple	red	Some++Few	2	0.2	black	pink	None++Zilch	0	0	green	red	Few++Some	4	0.4	turquoise	orange	Most++Some	8	0.8	yellow	blue	Few++Some	3	0.3	brown	gray	All++Everyone	10	1	red	purple	Some++Few	5	0.5	pink	black	Some++Most	9	0.9	red	green	7
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	3IO1LGZLK9WUMNPRND14VQB0WOI68J	Approved	Sun May 04 08:59:51 PDT 2014	Thu May 01 08:57:11 PDT 2014	Thu May 01 08:59:51 PDT 2014	Thu May 01 09:17:34 PDT 2014	NA	NA	NA	NA	1299	600	"Chrome"	10	"English"	""	"26"	"male"	All++Ten	10	1	gray	yellow	Some++Four	4	0.4	blue	orange	Few++Not%%Many	1	0.1	purple	red	Most++Many	8	0.8	green	pink	Two++Few	2	0.2	turquoise	red	Most++Several	7	0.7	black	brown	Few++Several	3	0.3	yellow	gray	Most++Many	6	0.6	orange	blue	None++Zero	0	0	red	purple	Most++Many	9	0.9	pink	green	Half++Several	5	0.5	red	turquoise	29
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	33L7PJKHCGX0OL03JQ9X603EGWST8G	Approved	Sun May 04 08:59:55 PDT 2014	Thu May 01 08:56:13 PDT 2014	Thu May 01 08:59:55 PDT 2014	Thu May 01 09:17:34 PDT 2014	NA	NA	NA	NA	1526	600	"Chrome"	10	"English"	""	"41"	"male"	Some++Three	3	0.3	turquoise	red	Two++Few	2	0.2	blue	red	Four++Some	4	0.4	purple	orange	Five++Half	5	0.5	green	pink	Most++Seven	7	0.7	black	brown	One++Few	1	0.1	gray	yellow	Six++Most	6	0.6	red	turquoise	None++Zero	0	0	red	blue	Most++Nine	9	0.9	orange	purple	All++Ten	10	1	pink	green	Eight++Most	8	0.8	brown	black	11
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	37QW5D2ZRGLZ9LNOUQ47WV7SEDF8S7	Approved	Sun May 04 08:59:58 PDT 2014	Thu May 01 08:59:12 PDT 2014	Thu May 01 08:59:58 PDT 2014	Thu May 01 09:17:34 PDT 2014	NA	NA	NA	NA	1836	600	"Chrome"	4	"English"	""	"35"	"male"	One++Some	1	0.25	black	red	None++Zero	0	0	green	brown	All++Four	4	1	gray	pink	Three++Most	3	0.75	turquoise	yellow	Two++Half	2	0.5	purple	orange	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	3OLQQLKKNSONJJEPKZHTW4CRTXZJE0	Approved	Sun May 04 09:00:31 PDT 2014	Thu May 01 08:56:29 PDT 2014	Thu May 01 09:00:31 PDT 2014	Thu May 01 09:17:34 PDT 2014	NA	NA	NA	NA	941	600	"Chrome"	10	"English"	"Thank+you"	"27"	"female"	majority++most	9	0.9	gray	red	one++few	1	0.1	blue	red	majority++most	7	0.7	green	pink	None++zero	0	0	turquoise	yellow	two++some	2	0.2	black	orange	half++some	5	0.5	purple	brown	all++most	10	1	red	gray	less++four	4	0.4	red	blue	most%%++majority	8	0.8	pink	green	more++most	6	0.6	yellow	turquoise	couple++few	3	0.3	orange	black	9
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	3LBXNTKX0RU7J7SXTSG8VZJVDYZX9T	Approved	Sun May 04 09:03:56 PDT 2014	Thu May 01 09:02:31 PDT 2014	Thu May 01 09:03:56 PDT 2014	Thu May 01 09:17:34 PDT 2014	NA	NA	NA	NA	1645	600	"Chrome"	4	"English"	""	"18"	"Male"	Four++All	4	1	blue	red	One++1	1	0.25	black	red	None++Zero	0	0	green	pink	Two++Half	2	0.5	gray	brown	Three++Most	3	0.75	turquoise	yellow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	37U1UTWH9VLN86NBF1426L2WSBY8RL	Approved	Sun May 04 09:04:26 PDT 2014	Thu May 01 09:03:06 PDT 2014	Thu May 01 09:04:26 PDT 2014	Thu May 01 09:17:34 PDT 2014	NA	NA	NA	NA	1299	600	"Chrome"	4	"English"	""	"25"	"F"	three++most	3	0.75	turquoise	orange	one++a%%minority	1	0.25	black	brown	half++two	2	0.5	green	pink	none++zero	0	0	blue	yellow	all++four	4	1	gray	red	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	39ASUFLU6X6OE3JE13WUNDK64VFXE3	Approved	Sun May 04 09:04:32 PDT 2014	Thu May 01 09:02:52 PDT 2014	Thu May 01 09:04:32 PDT 2014	Thu May 01 09:17:35 PDT 2014	NA	NA	NA	NA	1117	600	"Chrome"	4	"English"	"Thanks"	"43"	"Male"	Two++Half++Some	2	0.5	black	orange	All++Four	4	1	purple	yellow	All++Four	0	0	turquoise	brown	Three++Some++Most++Three-quarters	3	0.75	blue	red	Some++One	1	0.25	gray	pink	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	3MRNMEIQW55OM3OPRPIM617YXA4DL4	Approved	Sun May 04 09:04:38 PDT 2014	Thu May 01 09:00:56 PDT 2014	Thu May 01 09:04:38 PDT 2014	Thu May 01 09:17:35 PDT 2014	NA	NA	NA	NA	1444	600	"Chrome"	10	"English"	""	"24"	"Male"	few++some	4	0.4	blue	yellow	three++some	3	0.3	gray	pink	couple++two	2	0.2	black	red	some++half	5	0.5	turquoise	orange	most++lots	8	0.8	purple	brown	all++some	10	1	green	red	most++nine	9	0.9	yellow	blue	most++six	6	0.6	pink	gray	one++some	1	0.1	red	black	none++zero++	0	0	orange	turquoise	most++more	7	0.7	brown	purple	17
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	30BXRYBRP4WL9D5QHZ8E6X3CN92HWB	Approved	Sun May 04 09:04:56 PDT 2014	Thu May 01 09:03:04 PDT 2014	Thu May 01 09:04:56 PDT 2014	Thu May 01 09:17:35 PDT 2014	NA	NA	NA	NA	1372	600	"Chrome"	4	"Cambodian"	""	"18"	"Female"	Four++All	4	1	green	brown	Two++Half	2	0.5	turquoise	red	Zero++None	0	0	blue	pink	One++A%%Fourth	1	0.25	gray	red	Three++Most	3	0.75	purple	yellow	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	3WRFBPLXRANGSBPDADSP6KPBBSGN3J	Approved	Sun May 04 09:05:11 PDT 2014	Thu May 01 09:03:04 PDT 2014	Thu May 01 09:05:11 PDT 2014	Thu May 01 09:17:35 PDT 2014	NA	NA	NA	NA	1189	600	"Firefox"	5	"English"	""	"28"	"male"	None++Zero	0	0	green	red	Many++Most	4	0.8	turquoise	orange	All++Some	5	1	purple	red	Most++Some	3	0.6	black	brown	One++Some	1	0.2	gray	yellow	Some++Couple	2	0.4	blue	pink	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	3DYGAII7PL782X7SO3HDNHNHLZVPQK	Approved	Sun May 04 09:06:58 PDT 2014	Thu May 01 09:03:18 PDT 2014	Thu May 01 09:06:58 PDT 2014	Thu May 01 09:17:35 PDT 2014	NA	NA	NA	NA	1603	600	"Firefox"	4	"English"	"N%2FA"	"30"	"Female"	One++Minority	1	0.25	black	pink	Most++Four	4	1	purple	orange	Half++Two	2	0.5	green	red	Most++Three	3	0.75	blue	yellow	All++Four	0	0	gray	red	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	3IRIK4HM3AJWYQF44PH9XC7JMF4C6W	Approved	Sun May 04 09:07:23 PDT 2014	Thu May 01 09:02:31 PDT 2014	Thu May 01 09:07:23 PDT 2014	Thu May 01 09:17:35 PDT 2014	NA	NA	NA	NA	1215	600	"Mozilla"	10	"eng"	"couldn't+think+of+a+one+word+synonym+for+'one'+"	"27"	"m"	two++few	2	0.2	purple	orange	one++uno	1	0.1	green	yellow	most++many	8	0.8	black	brown	four++several	4	0.4	gray	pink	half++five	5	0.5	blue	red	all++the%%majority	10	1	turquoise	red	3++thirty%%percent	3	0.3	orange	purple	none++zero	0	0	yellow	green	most++9	9	0.9	brown	black	six++most	6	0.6	pink	gray	eight++many	7	0.7	red	blue	30
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	3EICBYG644V8MLUBO8BY6GCO8LOCJ2	Approved	Sun May 04 09:07:32 PDT 2014	Thu May 01 09:02:42 PDT 2014	Thu May 01 09:07:32 PDT 2014	Thu May 01 09:17:35 PDT 2014	NA	NA	NA	NA	1836	952	"Firefox"	10	"English"	""	"43"	"Male"	most++many	7	0.7	green	pink	most++many	9	0.9	purple	red	one++few	1	0.1	turquoise	yellow	few++two	2	0.2	gray	brown	most++many	6	0.6	black	red	most++many	8	0.8	blue	orange	some++less	4	0.4	pink	green	none++zero	0	0	red	purple	all++ten	10	1	yellow	turquoise	few++three	3	0.3	brown	gray	half++some	5	0.5	red	black	12
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	3KXIR214I4F5LLJOO8ZOO1EJEXM24T	Approved	Sun May 04 09:09:26 PDT 2014	Thu May 01 09:06:54 PDT 2014	Thu May 01 09:09:26 PDT 2014	Thu May 01 09:17:35 PDT 2014	NA	NA	NA	NA	1215	600	"Explorer"	10	"spanish"	""	"48"	"male"	Seven++70%	7	0.7	purple	yellow	One++1%	1	0.1	green	red	All++100%	10	1	black	red	Half++50%	5	0.5	gray	brown	Most++90%	9	0.9	turquoise	pink	None++0%	0	0	blue	orange	Few++30%	3	0.3	yellow	purple	Few++20%	2	0.2	red	green	Some++40%	4	0.4	red	black	Most++80%	8	0.8	brown	gray	Half++60%	6	0.6	pink	turquoise	25
373L46LKP65NJZ85QJNU6FUCNYIKJG	379Y3Z5FS57ZGSR7NV0XNMEFC8HT11	Language study	Give different one-word answers for saying the same thing.	language experiment study communication	$0.30	Thu May 01 08:55:10 PDT 2014	30	0	0	20	Reviewable	NotReviewed	1 condition	2400	259200	Sun May 04 08:55:10 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=373L46LKP65NJZ85QJNU6FUCNYIKJG	3WYGZ5XF3WEJ4MPP3F1AM0GJ9DBKS4	Approved	Sun May 04 09:11:56 PDT 2014	Thu May 01 09:06:45 PDT 2014	Thu May 01 09:11:56 PDT 2014	Thu May 01 09:17:35 PDT 2014	NA	NA	NA	NA	940	600	"Safari"	10	"English"	""	"31"	"Female"	Four++Several	4	0.4	purple	red	One++Part	1	0.1	gray	yellow	Most++Seven	7	0.7	turquoise	red	None++Zero	0	0	green	pink	Couple++Two	2	0.2	blue	orange	Most++Several	9	0.9	black	brown	Most++Six	6	0.6	red	purple	Most++Eight	8	0.8	yellow	gray	Few++Three	3	0.3	red	turquoise	All++Ten	10	1	pink	green	Half++Five	5	0.5	orange	blue	16
